backbone,feature,dr,k,clf,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_folds,accuracy_mean±std,macro_f1_mean±std
mobilenet_v3_small,EplusT,rp,32,logreg,0.9736287939217866,0.005313102524370697,0.9619271694107345,0.0066816058297048415,4,0.9736 ± 0.0053,0.9619 ± 0.0067
resnet50,EplusT,pca,128,knn,0.9758616169597771,0.006312030891989283,0.9616198812014914,0.008091801687327886,4,0.9759 ± 0.0063,0.9616 ± 0.0081
resnet50,EplusT,rp,128,logreg,0.9740810863775213,0.005523037351476543,0.9585634694652809,0.007577637939931674,4,0.9741 ± 0.0055,0.9586 ± 0.0076
resnet50,EplusT,lda,32,logreg,0.9716380678298648,0.0015731772314767102,0.9580028422121317,0.002309794481382337,4,0.9716 ± 0.0016,0.9580 ± 0.0023
efficientnet_b0,EplusT,pca,32,knn,0.9727588835818102,0.0031054729400748255,0.9579846794944804,0.0035716929363899036,4,0.9728 ± 0.0031,0.9580 ± 0.0036
resnet50,EplusT,pca,32,linearsvc,0.9698391541647189,0.0061718571799349465,0.9566295629146746,0.009063360918633877,4,0.9698 ± 0.0062,0.9566 ± 0.0091
efficientnet_b0,EplusT,rp,64,linearsvc,0.9707604139037149,0.00249025890171847,0.9554625273744702,0.003898482612445387,4,0.9708 ± 0.0025,0.9555 ± 0.0039
mobilenet_v3_small,EplusT,pca,16,logreg,0.967034961872802,0.010088660177290673,0.954180554266839,0.010286163377720444,4,0.9670 ± 0.0101,0.9542 ± 0.0103
efficientnet_b0,EplusT,lda,16,knn,0.9742495058376497,0.005769830975692026,0.9540404523358184,0.00715843626015416,4,0.9742 ± 0.0058,0.9540 ± 0.0072
efficientnet_b0,EplusT,rp,64,knn,0.9723819311959316,0.00280485722781472,0.9533733264828566,0.004682082595256749,4,0.9724 ± 0.0028,0.9534 ± 0.0047
resnet50,EplusT,pca,64,knn,0.9697213799040405,0.009285823097065373,0.9532520357229997,0.013083428610467195,4,0.9697 ± 0.0093,0.9533 ± 0.0131
efficientnet_b0,EplusT,lda,16,logreg,0.9707940627812381,0.006328045723403341,0.9520521679638512,0.005725916603568632,4,0.9708 ± 0.0063,0.9521 ± 0.0057
resnet50,EplusT,rp,128,knn,0.9702731706666978,0.0037256290654092182,0.9515709130766813,0.0004585923911696983,4,0.9703 ± 0.0037,0.9516 ± 0.0005
mobilenet_v3_small,EplusT,rp,32,knn,0.967594496855387,0.005794613669206268,0.9509244512328907,0.00802881601603685,4,0.9676 ± 0.0058,0.9509 ± 0.0080
efficientnet_b0,EplusT,lda,32,linearsvc,0.9702328887541752,0.002924784690649848,0.9497788772381799,0.0052840803359496275,4,0.9702 ± 0.0029,0.9498 ± 0.0053
mobilenet_v3_small,EplusT,lda,16,linearsvc,0.9639529554555266,0.0024892399930056806,0.9487608809175079,0.005692342800710397,4,0.9640 ± 0.0025,0.9488 ± 0.0057
efficientnet_b0,EplusT,pca,16,logreg,0.9605463272015023,0.0040230472188832155,0.9457853283487545,0.0034303731621173287,4,0.9605 ± 0.0040,0.9458 ± 0.0034
resnet50,EplusT,lda,64,linearsvc,0.9631488493673359,0.009414630762377923,0.945197365993135,0.012414689384650374,4,0.9631 ± 0.0094,0.9452 ± 0.0124
mobilenet_v3_small,EplusT,rp,32,linearsvc,0.959662874968575,0.0036782249710981063,0.9420106733070294,0.004067421867689658,4,0.9597 ± 0.0037,0.9420 ± 0.0041
resnet50,EplusT,pca,32,knn,0.9582330016562333,0.010013976946967523,0.9387023398110199,0.012440069729475284,4,0.9582 ± 0.0100,0.9387 ± 0.0124
resnet50,EplusT,rp,128,linearsvc,0.9567152107572874,0.003928901441259561,0.9383253854773714,0.005917480105849317,4,0.9567 ± 0.0039,0.9383 ± 0.0059
efficientnet_b0,EplusT,rp,32,knn,0.9574278764996837,0.001994334952873607,0.9375643152876916,0.003737542258945964,4,0.9574 ± 0.0020,0.9376 ± 0.0037
resnet50,EplusT,pca,16,logreg,0.9490100301972964,0.007964238819473729,0.9370394396873235,0.005346971476422713,4,0.9490 ± 0.0080,0.9370 ± 0.0053
efficientnet_b0,EplusT,rp,32,logreg,0.9491047796777665,0.002448636155127853,0.9335523048376249,0.008842193086984721,4,0.9491 ± 0.0024,0.9336 ± 0.0088
resnet50,EplusT,rp,64,knn,0.9545835096712958,0.008079925605882598,0.9316969464710732,0.012340420754182504,4,0.9546 ± 0.0081,0.9317 ± 0.0123
resnet50,EplusT,rp,64,logreg,0.9516555075409734,0.005379209171360889,0.9299026552317646,0.007552881686929042,4,0.9517 ± 0.0054,0.9299 ± 0.0076
mobilenet_v3_small,EplusT,pca,16,knn,0.9549954128384566,0.006661944237748344,0.9289268865475738,0.011888003507419843,4,0.9550 ± 0.0067,0.9289 ± 0.0119
efficientnet_b0,EplusT,pca,16,knn,0.9500208388141745,0.00415570992412531,0.9278194428554202,0.012365117092034212,4,0.9500 ± 0.0042,0.9278 ± 0.0124
mobilenet_v3_small,EplusT,pca,16,linearsvc,0.9463303757297096,0.011979484300423535,0.9257755761669088,0.013366170837088976,4,0.9463 ± 0.0120,0.9258 ± 0.0134
mobilenet_v3_small,EplusT,lda,8,logreg,0.9433257395188912,0.0076147079427811475,0.920023138350736,0.012365055538625625,4,0.9433 ± 0.0076,0.9200 ± 0.0124
resnet50,EplusT,lda,16,knn,0.943933905210644,0.011095599216080207,0.9183993918791331,0.007598158146225368,4,0.9439 ± 0.0111,0.9184 ± 0.0076
efficientnet_b0,EplusT,pca,16,linearsvc,0.9325358407243012,0.006095614971226381,0.9167049057972679,0.00515530309166436,4,0.9325 ± 0.0061,0.9167 ± 0.0052
mobilenet_v3_small,EplusT,lda,8,knn,0.9388010448616567,0.005463190262919065,0.9054878990257651,0.00701760649754635,4,0.9388 ± 0.0055,0.9055 ± 0.0070
efficientnet_b0,EplusT,rp,32,linearsvc,0.9240014616278989,0.007909320664662366,0.9003823524317003,0.005464495930357782,4,0.9240 ± 0.0079,0.9004 ± 0.0055
efficientnet_b0,EplusT,lda,16,linearsvc,0.9298775109215954,0.003510292842176575,0.8971346895667497,0.0042102575483720355,4,0.9299 ± 0.0035,0.8971 ± 0.0042
resnet50,EplusT,pca,16,linearsvc,0.914512464503577,0.012143032329941659,0.8963400668813386,0.011904839469057583,4,0.9145 ± 0.0121,0.8963 ± 0.0119
resnet50,EplusT,pca,16,knn,0.9278058997571456,0.006499751515130621,0.8959417922235481,0.005830220470218055,4,0.9278 ± 0.0065,0.8959 ± 0.0058
resnet50,EplusT,lda,16,logreg,0.9203205581478595,0.015113000716447954,0.8891645440306998,0.01629033807752268,4,0.9203 ± 0.0151,0.8892 ± 0.0163
resnet50,EplusT,lda,32,linearsvc,0.9170480571008031,0.01064989919166069,0.8853172026452352,0.012894784513570736,4,0.9170 ± 0.0106,0.8853 ± 0.0129
mobilenet_v3_small,EplusT,rp,16,knn,0.9179388928735012,0.00703651646964511,0.8824606237982291,0.01188598089397105,4,0.9179 ± 0.0070,0.8825 ± 0.0119
resnet50,EplusT,rp,64,linearsvc,0.911631660650011,0.006995898241886206,0.8809449930646492,0.00909341678841258,4,0.9116 ± 0.0070,0.8809 ± 0.0091
mobilenet_v3_small,EplusT,rp,16,logreg,0.900809270854865,0.00965344640891139,0.8743161713373424,0.010790194721755167,4,0.9008 ± 0.0097,0.8743 ± 0.0108
efficientnet_b0,EplusT,lda,8,knn,0.8987143280415344,0.010343301280324657,0.8583750263714849,0.01150778098545208,4,0.8987 ± 0.0103,0.8584 ± 0.0115
efficientnet_b0,EplusT,lda,8,logreg,0.8921590314845431,0.006923432092180388,0.8553984139827455,0.007856057632562443,4,0.8922 ± 0.0069,0.8554 ± 0.0079
mobilenet_v3_small,EplusT,rp,16,linearsvc,0.864067690593697,0.01111061236471305,0.8388029454768448,0.008399690722614962,4,0.8641 ± 0.0111,0.8388 ± 0.0084
mobilenet_v3_small,EplusT,pca,8,logreg,0.8659142011340047,0.010911095398667168,0.8376619665403705,0.01577277549957318,4,0.8659 ± 0.0109,0.8377 ± 0.0158
resnet50,EplusT,rp,32,knn,0.8759549360901709,0.01318834645762158,0.8306566372634913,0.0178546686475834,4,0.8760 ± 0.0132,0.8307 ± 0.0179
efficientnet_b0,EplusT,rp,16,knn,0.8756156459160612,0.012055517783771163,0.8302598429869846,0.009760951957313588,4,0.8756 ± 0.0121,0.8303 ± 0.0098
mobilenet_v3_small,EplusT,pca,8,knn,0.8561222049326971,0.0118098129635502,0.8132406536330242,0.013492240935778034,4,0.8561 ± 0.0118,0.8132 ± 0.0135
resnet50,EplusT,rp,32,logreg,0.8396854785656866,0.0062864590431359795,0.8111534244660457,0.010051684210244204,4,0.8397 ± 0.0063,0.8112 ± 0.0101
mobilenet_v3_small,EplusT,lda,8,linearsvc,0.8491805579597744,0.01532888677219905,0.8029857825310616,0.025224654949135696,4,0.8492 ± 0.0153,0.8030 ± 0.0252
efficientnet_b0,EplusT,pca,8,logreg,0.8360658366292126,0.005954439351365859,0.8008577980462899,0.0044298564715543704,4,0.8361 ± 0.0060,0.8009 ± 0.0044
efficientnet_b0,EplusT,pca,8,knn,0.8365036144288399,0.009926375996581586,0.7789197172029505,0.02010614057698028,4,0.8365 ± 0.0099,0.7789 ± 0.0201
efficientnet_b0,EplusT,rp,16,logreg,0.8082777243331026,0.004773744528035527,0.7776957800946411,0.010528560575531247,4,0.8083 ± 0.0048,0.7777 ± 0.0105
resnet50,EplusT,lda,16,linearsvc,0.8271851050664129,0.009153042104201285,0.7768718923735117,0.00539380859211605,4,0.8272 ± 0.0092,0.7769 ± 0.0054
resnet50,EplusT,pca,8,logreg,0.7996340961126872,0.012643466002102826,0.7699709931126687,0.010708861794242325,4,0.7996 ± 0.0126,0.7700 ± 0.0107
resnet50,EplusT,rp,32,linearsvc,0.8080965055916758,0.01445997392750459,0.7623655866321715,0.013661862619971665,4,0.8081 ± 0.0145,0.7624 ± 0.0137
resnet50,EplusT,lda,8,knn,0.8057075716598804,0.009891724057384872,0.7546483876639479,0.009943627309417977,4,0.8057 ± 0.0099,0.7546 ± 0.0099
efficientnet_b0,EplusT,rp,16,linearsvc,0.7800959466584221,0.013076954696830295,0.7452079069356126,0.011561448247724744,4,0.7801 ± 0.0131,0.7452 ± 0.0116
