fold,backbone,feature,dr,k,clf,accuracy,macro_f1
1,efficientnet_b0,EplusT,pca,1,linearsvc,0.019622641509433963,0.00467478726337316
1,efficientnet_b0,EplusT,pca,1,logreg,0.03169811320754717,0.016830227084333405
1,efficientnet_b0,EplusT,pca,1,knn,0.01509433962264151,0.0002307102482849407
1,efficientnet_b0,EplusT,pca,32,linearsvc,0.9758490566037736,0.9638947015714495
1,efficientnet_b0,EplusT,pca,32,logreg,0.979622641509434,0.9715803889311354
1,efficientnet_b0,EplusT,pca,32,knn,0.9750943396226415,0.9615252946903519
1,efficientnet_b0,EplusT,pca,16,linearsvc,0.930566037735849,0.9156237357054492
1,efficientnet_b0,EplusT,pca,16,logreg,0.9584905660377359,0.945095261911711
1,efficientnet_b0,EplusT,pca,16,knn,0.9539622641509434,0.9384856124393143
1,efficientnet_b0,EplusT,pca,64,linearsvc,0.9871698113207548,0.9780918261279612
1,efficientnet_b0,EplusT,pca,64,logreg,0.9879245283018868,0.9806360513450065
1,efficientnet_b0,EplusT,pca,64,knn,0.9818867924528302,0.9711488349877287
1,efficientnet_b0,EplusT,pca,128,linearsvc,0.9886792452830189,0.9815497077690368
1,efficientnet_b0,EplusT,pca,128,logreg,0.9894339622641509,0.981518005212035
1,efficientnet_b0,EplusT,pca,128,knn,0.9864150943396226,0.9759052191038678
1,efficientnet_b0,EplusT,lda,1,linearsvc,0.018867924528301886,0.005092207534087786
1,efficientnet_b0,EplusT,lda,1,logreg,0.06943396226415094,0.03994513112224575
1,efficientnet_b0,EplusT,lda,1,knn,0.013584905660377358,0.0002579421423357266
1,efficientnet_b0,EplusT,lda,8,linearsvc,0.7449056603773585,0.6864527390532976
1,efficientnet_b0,EplusT,lda,8,logreg,0.8867924528301887,0.8507131971775874
1,efficientnet_b0,EplusT,lda,8,knn,0.8867924528301887,0.8463645022916199
1,efficientnet_b0,EplusT,lda,16,linearsvc,0.9267924528301886,0.8972055419626003
1,efficientnet_b0,EplusT,lda,16,logreg,0.9615094339622642,0.944850976714804
1,efficientnet_b0,EplusT,lda,16,knn,0.9675471698113207,0.9567214113438018
1,efficientnet_b0,EplusT,lda,32,linearsvc,0.9660377358490566,0.9455180115257128
1,efficientnet_b0,EplusT,lda,32,logreg,0.9841509433962264,0.9735886723544762
1,efficientnet_b0,EplusT,lda,32,knn,0.9841509433962264,0.9771954852567237
1,efficientnet_b0,EplusT,lda,64,linearsvc,0.9788679245283018,0.9684583563786813
1,efficientnet_b0,EplusT,lda,64,logreg,0.9894339622641509,0.9879488557329582
1,efficientnet_b0,EplusT,lda,64,knn,0.9879245283018868,0.9826023540196064
1,efficientnet_b0,EplusT,lda,128,linearsvc,0.9841509433962264,0.9773802574313178
1,efficientnet_b0,EplusT,lda,128,logreg,0.9894339622641509,0.9841178100506459
1,efficientnet_b0,EplusT,lda,128,knn,0.9879245283018868,0.9823493695150857
1,efficientnet_b0,EplusT,pca,256,linearsvc,0.9894339622641509,0.9829837658195868
1,efficientnet_b0,EplusT,pca,256,logreg,0.9909433962264151,0.9830178113760202
1,efficientnet_b0,EplusT,pca,256,knn,0.9864150943396226,0.9764561138792921
1,efficientnet_b0,EplusT,rp,1,linearsvc,0.018867924528301886,0.004998598158486818
1,efficientnet_b0,EplusT,rp,1,logreg,0.024150943396226414,0.015710767622768934
1,efficientnet_b0,EplusT,rp,1,knn,0.0030188679245283017,4.5077964825773585e-05
1,efficientnet_b0,EplusT,lda,267,linearsvc,0.9886792452830189,0.9837501486259982
1,efficientnet_b0,EplusT,lda,267,logreg,0.9894339622641509,0.9841106334245866
1,efficientnet_b0,EplusT,lda,267,knn,0.9894339622641509,0.9841148925492652
1,efficientnet_b0,EplusT,rp,16,linearsvc,0.780377358490566,0.7407194137879012
1,efficientnet_b0,EplusT,rp,16,logreg,0.8030188679245283,0.7693170098602684
1,efficientnet_b0,EplusT,rp,16,knn,0.8671698113207548,0.8321833864718409
1,efficientnet_b0,EplusT,rp,8,linearsvc,0.4520754716981132,0.40111939092402654
1,efficientnet_b0,EplusT,rp,8,logreg,0.5343396226415095,0.49869099813778844
1,efficientnet_b0,EplusT,rp,8,knn,0.569811320754717,0.4973354217725811
1,efficientnet_b0,EplusT,rp,32,linearsvc,0.9147169811320754,0.8932798112453953
1,efficientnet_b0,EplusT,rp,32,logreg,0.9486792452830188,0.9412445935472724
1,efficientnet_b0,EplusT,rp,32,knn,0.9562264150943396,0.9353804858886872
1,efficientnet_b0,EplusT,rp,64,linearsvc,0.9683018867924529,0.9568736545379155
1,efficientnet_b0,EplusT,rp,64,logreg,0.979622641509434,0.9696377992855564
1,efficientnet_b0,EplusT,rp,64,knn,0.9743396226415094,0.9582065959919162
